"Court_changes","More_time_in_cell","Less_showers","Cancelled_visits","Less_staff","No_education","Less_work","Less_MH_support","Less_PH_support","Changes_in_mealtimes","More_time_cell_mates","Changes_in_timetable","Less_gym","Difficult_busy_in_cell","LOW_MOOD","ANXIOUS","SCARED","WORRY","V_AND_V","SLEEP","EATING","DRUGS","UPSETTING_THOUGHTS","UPSETTING_MEMORIES","NIGHTMARES","FRUSTRATION_ANGER","ARGUMENTS","DSH","SUICIDAL_THOUGHTS","FEELING_SAFE"
"Court_changes"," 1.000"," 0.122"," 0.339","-0.105"," 0.064"," 0.057"," 0.128","-0.064"," 0.089"," 0.076"," 0.094"," 0.257"," 0.176"," 0.219"," 0.124"," 0.089"," 0.370"," 0.247"," 0.221"," 0.007"," 0.142"," 0.351"," 0.233"," 0.112"," 0.232","-0.017"," 0.217"," 0.159"," 0.247"," 0.225"
"More_time_in_cell"," 0.122"," 1.000"," 0.484","-0.073"," 0.113"," 0.225"," 0.282"," 0.225","-0.058"," 0.053","-0.130"," 0.204","-0.046","-0.058"," 0.068"," 0.055","-0.106","-0.147"," 0.186"," 0.027","-0.187"," 0.058"," 0.010"," 0.015"," 0.211"," 0.041","-0.106","-0.020"," 0.104","-0.092"
"Less_showers"," 0.339"," 0.484"," 1.000","-0.073"," 0.113"," 0.225"," 0.282","-0.063","-0.058"," 0.240","-0.130"," 0.475"," 0.325"," 0.250"," 0.068","-0.122","-0.106"," 0.000"," 0.315"," 0.027","-0.037"," 0.058"," 0.010"," 0.015"," 0.211","-0.124","-0.106","-0.020"," 0.104","-0.092"
"Cancelled_visits","-0.105","-0.073","-0.073"," 1.000"," 0.094"," 0.002","-0.118"," 0.002"," 0.024"," 0.072"," 0.086"," 0.119"," 0.267"," 0.024","-0.164","-0.097","-0.054"," 0.110","-0.067"," 0.103"," 0.103"," 0.166","-0.098","-0.087"," 0.045"," 0.134"," 0.170","-0.046","-0.009"," 0.051"
"Less_staff"," 0.064"," 0.113"," 0.113"," 0.094"," 1.000"," 0.279"," 0.114"," 0.161"," 0.075"," 0.201","-0.012"," 0.125"," 0.162"," 0.202","-0.051","-0.084"," 0.067","-0.030"," 0.068","-0.023","-0.146"," 0.091","-0.002"," 0.146","-0.084","-0.042"," 0.061"," 0.044"," 0.007"," 0.170"
"No_education"," 0.057"," 0.225"," 0.225"," 0.002"," 0.279"," 1.000"," 0.271"," 0.038","-0.113"," 0.051","-0.148"," 0.019"," 0.116"," 0.059"," 0.082"," 0.059","-0.083","-0.041","-0.106"," 0.100"," 0.136"," 0.232"," 0.154"," 0.254"," 0.154"," 0.126"," 0.108"," 0.322"," 0.241"," 0.026"
"Less_work"," 0.128"," 0.282"," 0.282","-0.118"," 0.114"," 0.271"," 1.000"," 0.271"," 0.106"," 0.025","-0.088"," 0.066"," 0.165"," 0.106"," 0.286"," 0.032"," 0.163"," 0.048"," 0.175"," 0.321"," 0.085","-0.045"," 0.277"," 0.181"," 0.128"," 0.013"," 0.032","-0.033","-0.056"," 0.185"
"Less_MH_support","-0.064"," 0.225","-0.063"," 0.002"," 0.161"," 0.038"," 0.271"," 1.000"," 0.231"," 0.259"," 0.063"," 0.170"," 0.116"," 0.403"," 0.284"," 0.355"," 0.245"," 0.204"," 0.110"," 0.291","-0.031","-0.086"," 0.244"," 0.164"," 0.154"," 0.218"," 0.108"," 0.033","-0.067"," 0.272"
"Less_PH_support"," 0.089","-0.058","-0.058"," 0.024"," 0.075","-0.113"," 0.106"," 0.231"," 1.000"," 0.094"," 0.219"," 0.203","-0.083"," 0.080"," 0.014","-0.112","-0.014"," 0.000","-0.130"," 0.150","-0.067"," 0.019"," 0.018"," 0.027"," 0.141"," 0.172"," 0.260"," 0.119"," 0.021"," 0.187"
"Changes_in_mealtimes"," 0.076"," 0.053"," 0.240"," 0.072"," 0.201"," 0.051"," 0.025"," 0.259"," 0.094"," 1.000"," 0.075"," 0.505"," 0.345"," 0.429"," 0.185"," 0.199"," 0.066"," 0.133"," 0.189"," 0.143"," 0.088"," 0.061"," 0.013"," 0.034"," 0.136"," 0.142"," 0.128"," 0.010","-0.044"," 0.391"
