"Catching_covid","Infecting_FF","Worry_prisoners","Feeling_frustrated","Coping_changes","Worry_colleagues","Coping_staff_shortages","LOW_MOOD","ANXIETY","WORRY","FRUSTRATION","SLEEP","APPETITE","DRINKING","SMOKING","Support_FF"
"Catching_covid","             NA","0.0020902927221","0.0891051745095","0.0546735384504","0.0346159241561","0.0294455748152","0.3124922060402","0.1071659899935","0.0164106533695","0.0015859753165","0.1366402197199","0.0283741302763","0.3289694083197","0.7934728277278","0.6339032701944","0.0019156188647"
"Infecting_FF","0.0020902927221","             NA","0.0983351632759","0.1585365851834","0.2621618727274","0.0000774715649","0.1177974272509","0.0221166652751","0.1458248297144","0.1151573034489","0.5578092327486","0.0496505180324","0.4995624794270","0.3665462798277","0.3339660684396","0.1572581220021"
"Worry_prisoners","0.0891051745095","0.0983351632759","             NA","0.0000000298152","0.0570314975486","0.0018376271980","0.1177974272509","0.0030468947496","0.0004580204528","0.0033623081160","0.0000786394098","0.0007039743662","0.0008921300367","0.0256425153407","0.0738037273110","0.1572581220021"
"Feeling_frustrated","0.0546735384504","0.1585365851834","0.0000000298152","             NA","0.1460937302372","0.0180464205262","0.0877751208124","0.0333146914408","0.0000611724494","0.0000009495325","0.0148626961976","0.0041224999226","0.0105141294889","0.0425848536247","0.1083456706341","0.0000320478610"
"Coping_changes","0.0346159241561","0.2621618727274","0.0570314975486","0.1460937302372","             NA","0.3443526296561","0.0022810453768","0.0596497853516","0.0681029250812","0.1739500816243","0.1205403498060","0.0735680350810","0.0503662691998","0.3702893364737","0.8514875903939","0.0272351339434"
"Worry_colleagues","0.0294455748152","0.0000774715649","0.0018376271980","0.0180464205262","0.3443526296561","             NA","0.0010365551682","0.0634934085677","0.0620890581872","0.0434894967445","0.3132111580793","0.1903597122692","0.5122771757214","0.0143448049532","0.0251598273501","0.3900943667690"
"Coping_staff_shortages","0.3124922060402","0.1177974272509","0.1177974272509","0.0877751208124","0.0022810453768","0.0010365551682","             NA","0.0634934085677","0.8686760087915","0.1506169547103","0.3132111580793","0.1903597122692","0.0749565188875","0.0640563632573","0.0251598273501","0.3900943667690"
"LOW_MOOD","0.1071659899935","0.0221166652751","0.0030468947496","0.0333146914408","0.0596497853516","0.0634934085677","0.0634934085677","             NA","0.0000000295126","0.0000043381572","0.0014342364842","0.0001832872886","0.0000156009716","0.0671877817746","0.0023363006653","0.1064242052572"
"ANXIETY","0.0164106533695","0.1458248297144","0.0004580204528","0.0000611724494","0.0681029250812","0.0620890581872","0.8686760087915","0.0000000295126","             NA","0.0000000001184","0.0020495782924","0.0000001088939","0.0005766133402","0.2623429022113","0.0505310781907","0.0036039776365"
"WORRY","0.0015859753165","0.1151573034489","0.0033623081160","0.0000009495325","0.1739500816243","0.0434894967445","0.1506169547103","0.0000043381572","0.0000000001184","             NA","0.0008517153610","0.0002509698909","0.0069444718452","0.1469983395701","0.0122474687191","0.0026599754509"
"FRUSTRATION","0.1366402197199","0.5578092327486","0.0000786394098","0.0148626961976","0.1205403498060","0.3132111580793","0.3132111580793","0.0014342364842","0.0020495782924","0.0008517153610","             NA","0.0003387433056","0.0001090000728","0.1404048911555","0.0047765233953","0.4119625444325"
"SLEEP","0.0283741302763","0.0496505180324","0.0007039743662","0.0041224999226","0.0735680350810","0.1903597122692","0.1903597122692","0.0001832872886","0.0000001088939","0.0002509698909","0.0003387433056","             NA","0.0000006393799","0.1506410359600","0.0277174903698","0.0234113823016"
"APPETITE","0.3289694083197","0.4995624794270","0.0008921300367","0.0105141294889","0.0503662691998","0.5122771757214","0.0749565188875","0.0000156009716","0.0005766133402","0.0069444718452","0.0001090000728","0.0000006393799","             NA","0.1366402197199","0.0004430774918","0.3028834794208"
"DRINKING","0.7934728277278","0.3665462798277","0.0256425153407","0.0425848536247","0.3702893364737","0.0143448049532","0.0640563632573","0.0671877817746","0.2623429022113","0.1469983395701","0.1404048911555","0.1506410359600","0.1366402197199","             NA","0.0064367184392","0.8729962428168"
"SMOKING","0.6339032701944","0.3339660684396","0.0738037273110","0.1083456706341","0.8514875903939","0.0251598273501","0.0251598273501","0.0023363006653","0.0505310781907","0.0122474687191","0.0047765233953","0.0277174903698","0.0004430774918","0.0064367184392","             NA","0.2787504653208"
"Support_FF","0.0019156188647","0.1572581220021","0.1572581220021","0.0000320478610","0.0272351339434","0.3900943667690","0.3900943667690","0.1064242052572","0.0036039776365","0.0026599754509","0.4119625444325","0.0234113823016","0.3028834794208","0.8729962428168","0.2787504653208","             NA"
