"Catching_covid","Infecting_FF","Worry_prisoners","Feeling_frustrated","Coping_changes","Worry_colleagues","Coping_staff_shortages","LOW_MOOD","ANXIETY","WORRY","FRUSTRATION","SLEEP","APPETITE","DRINKING","SMOKING","Support_FF","Support_Managers","Support_Colleagues","Exercise","Hobbies"
"Catching_covid"," 1.000"," 0.359"," 0.203"," 0.229"," 0.251"," 0.259"," 0.122"," 0.193"," 0.284"," 0.368"," 0.178"," 0.260"," 0.118"," 0.032"," 0.057"," 0.362","-0.083"," 0.007","-0.009"," 0.095"
"Infecting_FF"," 0.359"," 1.000"," 0.198"," 0.169"," 0.135"," 0.452"," 0.187"," 0.271"," 0.174"," 0.189"," 0.071"," 0.234"," 0.081"," 0.109"," 0.116"," 0.170","-0.089","-0.042"," 0.297"," 0.342"
"Worry_prisoners"," 0.203"," 0.198"," 1.000"," 0.601"," 0.227"," 0.363"," 0.187"," 0.347"," 0.405"," 0.343"," 0.451"," 0.393"," 0.386"," 0.265"," 0.214"," 0.170"," 0.118"," 0.315"," 0.140"," 0.169"
"Feeling_frustrated"," 0.229"," 0.169"," 0.601"," 1.000"," 0.174"," 0.280"," 0.204"," 0.253"," 0.457"," 0.544"," 0.288"," 0.336"," 0.302"," 0.241"," 0.192"," 0.472"," 0.287"," 0.304"," 0.180"," 0.256"
"Coping_changes"," 0.251"," 0.135"," 0.227"," 0.174"," 1.000"," 0.114"," 0.356"," 0.225"," 0.218"," 0.163"," 0.186"," 0.214"," 0.233","-0.108","-0.023"," 0.262","-0.031"," 0.143","-0.020"," 0.095"
"Worry_colleagues"," 0.259"," 0.452"," 0.363"," 0.280"," 0.114"," 1.000"," 0.381"," 0.221"," 0.223"," 0.240"," 0.121"," 0.157"," 0.079"," 0.289"," 0.266"," 0.104"," 0.125"," 0.113"," 0.001"," 0.128"
"Coping_staff_shortages"," 0.122"," 0.187"," 0.187"," 0.204"," 0.356"," 0.381"," 1.000"," 0.221"," 0.020"," 0.172"," 0.121"," 0.157"," 0.213"," 0.221"," 0.266"," 0.104","-0.058"," 0.113","-0.275","-0.024"
"LOW_MOOD"," 0.193"," 0.271"," 0.347"," 0.253"," 0.225"," 0.221"," 0.221"," 1.000"," 0.601"," 0.515"," 0.371"," 0.430"," 0.488"," 0.218"," 0.356"," 0.193"," 0.160"," 0.125","-0.075","-0.007"
"ANXIETY"," 0.284"," 0.174"," 0.405"," 0.457"," 0.218"," 0.223"," 0.020"," 0.601"," 1.000"," 0.674"," 0.360"," 0.581"," 0.399"," 0.135"," 0.233"," 0.341"," 0.212"," 0.168"," 0.069"," 0.060"
"WORRY"," 0.368"," 0.189"," 0.343"," 0.544"," 0.163"," 0.240"," 0.172"," 0.515"," 0.674"," 1.000"," 0.387"," 0.422"," 0.318"," 0.174"," 0.296"," 0.351"," 0.146"," 0.271","-0.031"," 0.077"
"FRUSTRATION"," 0.178"," 0.071"," 0.451"," 0.288"," 0.186"," 0.121"," 0.121"," 0.371"," 0.360"," 0.387"," 1.000"," 0.413"," 0.443"," 0.177"," 0.331"," 0.099"," 0.028"," 0.146"," 0.026"," 0.026"
"SLEEP"," 0.260"," 0.234"," 0.393"," 0.336"," 0.214"," 0.157"," 0.157"," 0.430"," 0.581"," 0.422"," 0.413"," 1.000"," 0.551"," 0.172"," 0.261"," 0.269"," 0.023"," 0.122"," 0.034"," 0.063"
"APPETITE"," 0.118"," 0.081"," 0.386"," 0.302"," 0.233"," 0.079"," 0.213"," 0.488"," 0.399"," 0.318"," 0.443"," 0.551"," 1.000"," 0.178"," 0.406"," 0.124"," 0.130"," 0.124","-0.026","-0.026"
"DRINKING"," 0.032"," 0.109"," 0.265"," 0.241","-0.108"," 0.289"," 0.221"," 0.218"," 0.135"," 0.174"," 0.177"," 0.172"," 0.178"," 1.000"," 0.320","-0.019"," 0.245","-0.007"," 0.193","-0.027"
"SMOKING"," 0.057"," 0.116"," 0.214"," 0.192","-0.023"," 0.266"," 0.266"," 0.356"," 0.233"," 0.296"," 0.331"," 0.261"," 0.406"," 0.320"," 1.000"," 0.130"," 0.102"," 0.054","-0.185","-0.143"
"Support_FF"," 0.362"," 0.170"," 0.170"," 0.472"," 0.262"," 0.104"," 0.104"," 0.193"," 0.341"," 0.351"," 0.099"," 0.269"," 0.124","-0.019"," 0.130"," 1.000"," 0.339"," 0.250"," 0.143"," 0.346"
"Support_Managers","-0.083","-0.089"," 0.118"," 0.287","-0.031"," 0.125","-0.058"," 0.160"," 0.212"," 0.146"," 0.028"," 0.023"," 0.130"," 0.245"," 0.102"," 0.339"," 1.000"," 0.340"," 0.092","-0.071"
"Support_Colleagues"," 0.007","-0.042"," 0.315"," 0.304"," 0.143"," 0.113"," 0.113"," 0.125"," 0.168"," 0.271"," 0.146"," 0.122"," 0.124","-0.007"," 0.054"," 0.250"," 0.340"," 1.000"," 0.204"," 0.202"
"Exercise","-0.009"," 0.297"," 0.140"," 0.180","-0.020"," 0.001","-0.275","-0.075"," 0.069","-0.031"," 0.026"," 0.034","-0.026"," 0.193","-0.185"," 0.143"," 0.092"," 0.204"," 1.000"," 0.452"
"Hobbies"," 0.095"," 0.342"," 0.169"," 0.256"," 0.095"," 0.128","-0.024","-0.007"," 0.060"," 0.077"," 0.026"," 0.063","-0.026","-0.027","-0.143"," 0.346","-0.071"," 0.202"," 0.452"," 1.000"
